GENE	pbmc_1	pbmc_10	pbmc_12_merged_1.fastq	pbmc_2_merged_1.fastq	pbmc_4	pbmc_5_merged_1.fastq	pbmc_6_merged_1.fastq	pbmc_7_merged_1.fastq	pbmc_9_merged_1.fastq
UBE2Q2P2	0	19	0	0	3	46	0	0	0
SSX9	0	0	0	0	10	0	0	0	0
CXorf67	13	25	20	10	35	18	0	23	20
EFCAB8	0	0	7	1	51	74	0	14	11
SPATA31B1P	0	0	0	0	0	0	0	0	0
SDR16C6P	0	0	0	0	10	0	0	0	0
GTPBP6	3801	12592	3269	3911	4562	5787	2270	5198	3627
EFCAB12	31	31	12	6	78	53	14	7	14
A1BG	1119	3933	743	1642	824	620	632	1216	1122
A1CF	0	0	0	0	5	0	0	0	0
RBFOX1	0	0	0	0	4	0	1	0	1
GGACT	678	918	556	418	198	360	310	721	595
A2ML1	27	121	35	98	384	158	23	63	32
A2M	63	107	72	39	175	237	16	164	133
A4GALT	6	35	22	0	0	3	7	31	17
A4GNT	0	0	0	0	0	0	0	0	0
NPSR1-AS1	4	0	0	0	3	0	0	0	0
AAAS	2106	5194	1603	1284	1923	2434	1337	2148	1875
AACS	1322	3202	1119	790	698	1118	765	1345	1185
AADACL2	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	4	13	21	0	0	0
AADACL4	0	0	0	0	0	0	1	0	0
AADAC	0	0	0	0	0	0	0	0	0
AADAT	0	12	0	0	25	1	0	16	0
AAGAB	2827	6653	3146	1905	1874	2395	1950	3129	3042
AAK1	9942	17483	8839	12083	13303	13190	5036	13489	8258
AAMP	6282	19435	5768	5561	3636	5182	3791	8016	6710
AANAT	8	39	10	5	19	54	2	3	15
AARS2	1096	2379	859	888	1485	1616	373	1229	643
AARSD1	1295	3048	1224	1444	1410	1508	902	1780	1366
AARS	3892	8859	3376	2422	2432	2982	2698	4108	3247
AASDHPPT	2319	4157	1854	1057	707	1339	968	2135	1963
AASDH	973	2166	852	669	634	1036	455	842	718
AASS	234	420	225	199	819	659	79	315	238
AATF	8369	21285	8194	6370	4005	6170	5184	9954	8044
AATK	690	497	422	937	874	1809	461	848	539
ABAT	1215	1743	427	799	829	1371	530	905	677
ABCA10	40	58	10	7	106	92	19	54	15
ABCA11P	135	226	153	30	134	195	77	103	97
ABCA12	0	0	0	0	14	5	0	0	0
ABCA13	53	127	48	142	408	134	46	101	72
ABCA17P	5	0	0	0	17	18	0	12	4
ABCA1	605	1314	562	680	492	2085	538	634	621
ABCA2	5073	9161	7333	3768	17131	20290	3852	7286	5444
ABCA3	667	1048	867	505	970	957	440	1175	707
ABCA4	4	9	0	0	0	0	0	0	0
ABCA5	499	871	435	359	2913	2473	186	434	356
ABCA6	24	81	55	39	48	55	28	21	27
ABCA7	5296	15738	5236	4236	18384	14706	3198	4542	4535
ABCA8	39	122	73	164	458	189	38	181	118
ABCA9	29	93	55	72	378	181	24	121	66
ABCB10	2334	5903	2438	1330	1988	3126	1816	3109	2573
ABCB11	0	0	0	0	15	0	0	0	0
ABCB1	2097	1866	1711	986	1363	1617	810	1932	1520
ABCB4	268	552	129	74	162	224	95	170	162
ABCB5	127	325	114	423	1334	446	68	363	184
ABCB6	194	665	138	256	374	361	85	265	154
ABCB7	2344	6120	2064	1394	1335	1790	1504	2443	2231
ABCB8	1404	4066	1424	1222	1968	2628	983	1674	1388
ABCB9	271	478	204	401	1013	357	154	330	232
ABCC10	1758	4705	1684	1090	2689	3305	1007	2253	1656
ABCC11	2	0	0	0	27	3	0	0	0
ABCC12	0	0	0	0	4	0	0	0	0
ABCC13	23	75	27	67	132	67	3	38	99
ABCC1	8166	19274	8947	4624	5165	8590	5936	8807	9149
ABCC2	92	180	42	87	273	281	25	24	64
ABCC3	1148	7409	2088	1008	2033	2699	955	1805	1992
ABCC4	1084	1881	995	449	602	607	660	971	855
ABCC5	2399	4871	1892	1130	2478	3148	1134	1817	2239
ABCC6P2	0	0	0	39	0	0	0	0	0
ABCC6	204	468	199	113	225	469	183	332	186
ABCC8	0	0	0	0	11	0	1	0	0
ABCC9	873	1725	935	1833	5972	3227	556	2463	1494
ABCD1	3329	10610	2791	2408	1658	3369	2140	3247	3202
ABCD2	1472	3082	1362	683	666	1144	801	910	828
ABCD3	1861	3520	1322	1164	1466	1961	817	1677	1459
ABCD4	1806	4251	1549	1225	2661	2943	1154	2115	1728
ABCE1	6189	10588	5069	2835	2390	3789	2657	4491	3899
ABCF1	6414	13388	5663	4701	4464	5811	3072	7205	5341
ABCF2	4567	9136	3527	3208	2761	3402	2655	4828	4084
ABCF3	2545	5489	1871	2298	3677	4400	1204	3218	2303
ABCG1	1304	2240	689	1606	890	1485	750	1307	911
ABCG2	20	62	22	23	23	16	38	57	44
ABCG4	0	0	0	0	0	0	1	0	0
ABCG5	11	45	2	12	67	20	2	28	16
ABCG8	0	0	0	0	0	0	0	0	0
ABHD10	1986	3188	1537	1087	1100	1455	791	1946	1205
ABHD11	969	2333	774	694	1335	1423	401	1206	671
ABHD12B	18	90	32	24	48	33	29	48	11
ABHD12	3421	9794	3268	2812	1726	2941	2275	4274	3955
ABHD13	2987	6813	2947	1731	2070	3352	1520	3687	3090
ABHD14A	1674	3773	1344	1316	944	994	1078	2156	1419
ABHD14B	9175	20368	7617	6366	3402	4642	4830	10004	7940
ABHD15	3621	7884	3025	2251	2183	3258	1755	3659	3577
ABHD1	91	202	169	209	1105	399	61	296	167
ABHD2	10580	23035	9882	6640	4250	9492	6912	9654	10245
ABHD3	1296	3159	1042	1150	3270	3581	765	1971	1444
ABHD4	1496	3395	951	782	812	1104	993	1718	1248
ABHD5	1176	3808	1065	1520	1332	2361	1144	2130	1845
ABHD6	580	986	491	230	245	347	168	424	370
ABHD8	1708	5536	1519	1422	865	1191	1153	1602	1494
ABI1	7338	15796	6522	4259	5370	7998	4160	7884	6520
ABI2	2402	5489	2323	1695	2303	2825	1282	2916	1790
ABI3BP	7	42	5	26	168	61	30	58	16
ABI3	4559	11616	5449	3100	3062	4723	2127	7942	5981
ABL1	4690	9453	4323	3027	3549	5591	2724	4954	4540
ABL2	2696	4893	2228	2418	3824	3432	1314	3130	1963
ABLIM1	22857	38294	17024	10856	9672	11752	11271	14293	11559
ABLIM2	103	239	111	166	177	191	47	131	60
ABLIM3	230	1678	331	257	232	178	284	205	439
ABO	57	17	12	38	68	35	14	53	18
AOC1	98	181	116	239	856	344	91	275	219
ABRA	0	0	1	0	29	5	0	5	7
ABR	8677	22496	8315	4980	9193	13647	6099	11723	8468
ABT1	3453	9200	3984	3291	2502	3351	1949	4252	4050
ABTB1	8262	21154	7576	11375	9803	10201	5939	12676	11343
ABTB2	47	258	85	63	56	219	36	35	94
ACAA1	6858	16126	5237	5309	5364	7004	4151	7934	7489
ACAA2	3822	11235	5022	3423	2043	2676	3237	4265	5518
ACACA	1413	2474	1156	1000	925	1518	727	1274	1126
ACACB	1310	2376	754	845	1511	1334	453	1114	973
ACAD10	1971	3356	1384	1067	2123	2466	829	1794	1576
ACAD11	507	1000	480	324	3555	3625	170	602	451
ACAD8	1315	3327	1241	780	2663	3198	763	1595	1227
ACAD9	1621	4241	1400	902	1458	2193	952	1827	1374
ACADL	0	0	0	0	3	0	0	0	0
ACADM	2678	5832	2542	1449	1035	1618	1584	2620	2346
ACADSB	3149	6406	2970	1759	2556	3093	1596	2958	2725
ACADS	1292	4210	1004	1199	985	993	827	1356	1491
ACADVL	8935	28603	10662	8873	20303	24874	7186	12833	13821
ACAN	37	69	14	103	236	54	4	40	50
ACAP1	15444	39781	14318	13700	21308	20829	8158	17431	10244
ACAP2	12060	23651	11754	6836	7352	13826	7035	11902	10133
ACAP3	2915	9786	2782	2192	10046	11213	1806	3190	2552
ACAT1	1850	3877	1493	1216	923	1549	969	2005	2032
ACAT2	1493	2634	1130	982	704	841	754	1567	1369
ACBD3	4126	9481	3639	2563	1577	3109	2428	4400	3830
ACBD4	791	1870	604	712	1671	1293	337	828	594
ACBD5	2273	3840	2247	1355	2668	3723	963	2822	2104
ACBD6	2559	6048	2213	1997	1307	1954	1427	3249	2391
ACBD7	119	284	129	169	1186	399	72	136	184
ASIC2	0	0	0	0	4	0	0	0	0
ASIC1	92	215	83	91	10	62	126	95	7
ASIC3	66	104	36	34	313	340	26	75	31
ASIC4	6	13	17	28	97	58	8	19	19
ASIC5	0	0	0	0	0	0	0	0	0
ACCSL	0	0	9	2	0	0	5	0	0
ACCS	262	839	233	231	1398	8252	133	308	230
ACD	1910	5571	1777	1792	1332	1694	1291	2196	2154
ACE2	0	0	0	0	0	0	0	0	0
ACER1	48	31	43	20	59	42	14	35	9
ACER2	71	232	43	25	58	111	53	58	69
ACER3	1620	4814	1845	1747	1840	2544	1305	2151	1923
ACE	517	786	535	466	846	485	357	623	391
ACHE	2	11	8	0	10	5	0	0	3
ACIN1	8427	20263	7418	6169	15230	18909	4502	9392	7671
ACLY	13369	28205	12154	6532	5364	9498	7409	11968	11820
ACMSD	0	0	5	0	3	3	0	0	0
SDHAF3	1064	1921	976	843	336	522	601	1240	833
ACO1	1084	2417	1127	437	346	949	569	1066	884
ACO2	9691	20792	8077	5416	3289	6492	5418	9142	8472
ACOT11	54	222	76	178	264	216	63	148	89
ACOT12	0	0	0	0	0	0	0	0	0
ACOT13	1063	1937	812	701	842	894	472	1277	887
ACOT1	102	190	43	42	34	90	48	73	184
ACOT2	998	2902	991	827	830	703	633	1202	1059
ACOT4	43	229	90	121	89	93	114	263	156
ACOT6	0	0	0	0	7	0	0	0	0
ACOT7	650	2568	990	487	423	668	534	1070	956
ACOT8	1469	4027	1276	969	917	1337	953	1036	1359
ACOT9	1601	5245	1835	1369	2235	3247	1066	1998	2071
ACOX1	2544	4514	1868	1935	2559	3977	1266	2363	2085
ACOX2	59	65	30	30	6	52	69	50	57
ACOX3	1052	2408	1419	771	546	1023	758	1228	1127
ACOXL	51	102	15	7	126	44	9	51	39
ACP1	6670	16054	7270	4236	3375	4992	4396	7734	7139
ACP2	1871	4973	1815	1240	998	1951	1236	2314	2022
ACP5	2734	6032	1844	1951	2265	2786	1361	3783	1953
ACP6	618	1609	541	552	365	503	339	347	425
PXYLP1	872	1450	675	660	576	1089	338	871	826
ACPP	1197	2714	1051	705	708	1311	785	962	1238
ACPT	1	17	0	7	13	6	2	5	9
ACRBP	730	3662	984	764	720	1017	798	1467	1176
ACRC	104	236	104	202	461	467	29	205	111
ACRV1	0	0	0	0	3	5	0	0	0
ACR	0	0	0	30	0	8	0	0	0
ACSBG1	1	76	21	52	36	63	15	102	48
ACSBG2	9	0	0	0	12	3	4	0	3
ACSF2	1164	2867	907	954	986	1514	931	1361	1171
ACSF3	2521	6267	1956	1786	1798	2159	1360	2196	2354
ACSL1	3801	12691	3925	3779	3828	8851	3726	4171	5663
ACSL3	2174	3385	1626	1332	1174	1916	873	2100	1528
ACSL4	6634	11896	6275	3505	2431	5872	3891	6980	6411
ACSL5	4827	10983	5428	2570	3591	6083	3342	4992	6096
ACSL6	881	1206	653	276	304	333	436	558	677
ACSM1	4	85	29	0	58	17	11	17	96
ACSM2A	27	42	47	103	282	126	20	127	22
ACSM2B	0	0	0	0	10	0	0	0	0
ACSM3	422	938	461	343	235	341	216	377	411
ACSM4	13	25	5	0	24	21	5	8	0
ACSM5	0	0	3	0	16	3	0	0	0
ACSS1	6539	17092	5109	5000	5661	8117	4295	7639	6400
ACSS2	3042	8996	2295	2114	1567	2971	1911	2362	2722
ACSS3	5	30	9	9	28	6	0	20	1
ACTA1	26	41	45	19	19	49	23	45	42
ACTA2	305	1525	501	351	569	454	489	516	509
ACTBL2	0	0	0	0	0	0	1	2	3
ACTB	710617	1924048	663942	670675	354402	550286	500618	924050	884749
ACTC1	5	12	8	1	11	1	1	0	11
ACTG1	222971	568377	179299	193442	92007	136365	179344	291694	254875
ACTG2	604	1391	33	408	252	788	8	17	755
ACTL6A	1684	2410	997	867	967	1396	718	1392	1072
ACTL6B	0	0	0	0	6	4	0	0	0
ACTL7A	0	1	0	1	0	0	0	0	0
ACTL7B	3	0	0	0	5	3	0	0	0
ACTL8	4	0	0	0	7	0	0	0	0
ACTL9	0	0	2	0	0	0	0	0	0
ACTN1	14169	30890	9240	9411	5559	8349	7820	10236	8453
ACTN2	0	8	1	0	7	9	0	15	1
ACTN3	7	20	4	13	32	93	6	10	33
ACTN4	26289	65001	30396	19921	17495	26944	20027	37798	33199
ACTR10	3381	7394	3040	2503	2128	2906	1975	4029	3125
ACTR1A	7160	16524	5977	5651	3758	5475	4236	8286	7653
ACTR1B	5614	14502	5336	4271	4544	6214	3285	6447	5508
ACTR2	67175	152520	69239	37784	22653	48868	44121	77328	73008
ACTR3B	523	1320	536	359	283	490	331	549	515
ACTR3C	64	180	38	18	46	58	14	105	53
ACTR3	30798	55808	25573	17327	9848	16708	16456	30649	23948
ACTR5	1004	2199	743	647	1258	1684	377	1008	924
ACTR6	1784	3717	1503	1100	882	1305	893	1773	1380
ACTR8	1758	2833	1615	833	799	1678	1125	1566	1388
ACTRT1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
ACVR1B	1863	4090	1297	1047	912	1814	827	1524	1542
ACVR1C	139	333	174	177	226	196	55	160	158
ACVR1	1610	3690	1340	940	904	1232	932	1218	1539
ACVR2A	1020	1515	687	544	1060	1331	558	988	909
ACVR2B	1151	712	346	365	596	454	351	472	527
ACVRL1	282	590	70	243	145	316	228	146	218
ACY1	951	2121	630	587	666	745	373	1059	803
ACY3	62	346	96	55	76	175	62	191	151
ACYP1	373	770	265	335	304	396	191	356	334
ACYP2	609	1893	579	498	264	476	397	508	567
ADAD1	0	0	0	0	6	0	0	0	0
ADAD2	0	86	0	0	3	2	0	0	0
ADAL	445	683	326	328	401	395	308	211	492
ADAM10	10433	17521	10208	3840	3251	7577	6417	10464	9691
ADAM11	16	0	0	10	50	52	4	0	9
ADAM12	322	548	266	117	131	210	89	193	171
ADAM15	8355	17680	5002	5076	4906	8827	5204	7991	7418
ADAM17	2872	6374	2831	2014	2235	3312	1593	2572	2651
ADAM18	0	0	0	0	0	0	0	0	0
ADAM19	5650	12849	3267	2485	3793	7090	3130	4451	4141
ADAM20	3	0	0	0	18	7	0	14	0
ADAM21P1	5	0	0	0	11	0	0	11	0
ADAM21	7	0	0	0	2	0	0	0	10
ADAM22	98	137	126	63	94	100	70	148	81
ADAM23	193	300	149	195	109	102	104	42	89
ADAM28	1064	1803	767	479	1192	1552	632	766	534
ADAM29	0	0	0	0	24	11	7	0	7
ADAM2	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	2	0	0	0
ADAM32	0	5	0	19	17	11	0	0	0
ADAM33	24	14	18	107	315	142	26	49	52
ADAM3A	24	110	34	102	193	185	21	85	92
ADAM6	196331	413469	119139	65979	45740	72783	254574	99928	89515
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	12050	34541	13615	10553	21583	21495	8440	16457	15977
ADAM9	1844	3312	1896	473	642	2084	1417	1549	1603
ADAMDEC1	92	188	32	21	24	28	26	26	24
ADAMTS10	405	762	653	744	2393	3722	252	718	412
ADAMTS12	0	0	0	0	9	0	0	0	0
ADAMTS13	74	217	86	65	552	383	31	158	90
ADAMTS14	15	38	11	7	89	14	2	19	17
ADAMTS15	0	0	0	0	0	3	0	9	8
ADAMTS16	0	2	9	0	55	11	4	4	5
ADAMTS17	208	267	137	211	334	164	69	139	153
ADAMTS18	8	24	1	17	96	15	3	37	13
ADAMTS19	0	0	0	0	1	0	0	0	0
ADAMTS1	222	175	381	259	130	229	54	423	459
ADAMTS20	0	0	0	0	1	0	0	0	0
ADAMTS2	101	74	26	25	76	31	13	12	43
ADAMTS3	0	0	0	3	0	0	0	0	0
ADAMTS4	159	155	84	277	946	247	71	214	132
ADAMTS5	187	247	103	155	63	142	108	72	63
ADAMTS6	108	221	67	61	156	205	12	47	82
ADAMTS7	18	25	7	20	67	79	7	39	10
ADAMTS8	0	8	2	34	23	16	0	11	4
ADAMTS9	0	0	0	13	20	4	0	5	0
ADAMTSL1	0	0	0	0	0	0	0	0	0
ADAMTSL2	60	221	96	182	528	166	69	208	132
ADAMTSL3	133	198	230	319	971	576	77	478	346
ADAMTSL4	2510	4811	2149	1287	3885	6372	1656	2354	2320
ADAMTSL5	160	422	196	167	399	343	78	156	182
ADAP1	7179	25778	6267	7217	5655	7538	4890	9867	8903
ADAP2	2266	7603	2252	1429	1279	2264	1316	2560	2370
ADARB1	2798	6389	2778	1720	2999	3284	1807	3176	2567
ADARB2	0	172	4	0	15	50	2	61	0
ADAR	28996	63769	29055	16047	16932	29838	16667	30067	25923
ADAT1	1251	2171	1011	693	1269	1309	859	1591	1420
ADAT2	206	299	152	255	1938	1526	80	462	174
ADAT3	334	842	280	278	252	385	134	273	284
ADA	2004	3965	2407	1684	2818	3020	1153	3254	2385
ADCK1	389	1305	465	318	886	993	265	684	470
ADCK2	3120	7102	2807	2594	1273	1848	1769	3776	3058
ADCK4	1952	5306	1981	1654	2282	2885	1266	2665	2177
ADCK5	360	1238	371	339	1267	1463	245	461	371
ADCY10	1	0	6	12	38	11	4	0	0
ADCY1	23	35	11	31	195	88	13	56	26
ADCY2	23	1	12	31	179	49	14	28	32
ADCY3	1926	4108	1946	1265	1553	1467	1313	1514	1673
ADCY4	50	119	19	23	371	405	21	63	23
ADCY5	0	0	0	0	12	7	0	6	0
ADCY6	80	164	80	108	286	101	40	71	106
ADCY7	20804	40855	20573	10274	24638	31687	11508	26105	19008
ADCY8	0	0	0	0	60	0	1	0	1
ADCY9	2132	4664	2249	866	1370	3236	1084	2071	1588
ADCYAP1R1	0	0	0	0	0	0	0	0	4
ADCYAP1	0	0	4	4	6	1	7	0	0
AZIN2	187	558	192	169	203	365	103	164	133
ADD1	29232	69623	29377	19838	17311	26273	19370	32058	28782
ADD2	519	1195	752	260	317	321	210	549	133
ADD3	30233	49682	26721	12416	14467	20926	14441	21889	21140
ADH1A	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	23	0	1	5	2
ADH1C	0	0	0	0	0	0	0	0	0
ADH4	7	16	6	15	158	40	10	7	17
ADH5	6099	11745	5546	4314	2147	3994	3232	6621	4992
ADH6	1	9	4	8	9	8	0	0	0
ADH7	0	0	0	0	0	0	0	0	0
ADHFE1	183	436	137	138	2269	1999	61	155	144
ADI1	6489	16165	5601	5214	3252	4572	3967	6824	5816
ADIG	0	0	0	0	0	0	0	0	0
ADIPOQ	58	128	86	165	507	164	32	141	73
ADIPOR1	8005	19573	6905	5968	4981	7696	6047	9344	13017
ADIPOR2	5604	13886	5565	3990	3313	6196	3479	7692	7660
ADK	3194	4793	3044	1488	870	1208	1537	2876	1746
ADM2	217	418	153	207	403	161	152	184	139
ADM	769	3754	877	672	804	1533	732	1324	1534
ADNP2	3024	7115	3745	1846	2024	3629	1976	3353	3188
ADNP	6085	10357	5389	3042	4166	5676	3485	5936	4502
ADORA1	35	29	22	22	25	41	56	19	11
SPECC1L-ADORA2A	2543	4319	1580	1743	1046	996	992	2184	1168
ADORA2B	168	334	74	133	91	81	80	214	95
ADORA3	117	153	31	49	58	126	63	198	132
ADO	1093	2772	1014	787	971	1214	476	1092	1259
ADPGK	7768	19794	7665	6160	8565	12008	4651	8868	8205
ADPRHL1	44	221	21	30	38	29	20	20	47
ADPRHL2	1502	3743	1283	1414	1287	1781	725	2161	1428
ADPRH	1641	4330	1140	807	360	1040	1021	1211	1211
ADRA1A	25	122	26	45	347	103	15	184	48
ADRA1B	0	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0	0
ADRA2A	18	318	31	14	5	20	41	58	86
ADRA2B	8	0	0	0	16	17	6	0	5
ADRA2C	0	0	0	0	0	0	5	0	0
ADRB1	203	657	130	92	431	156	37	177	218
ADRB2	718	1279	1306	474	693	1337	401	1503	1313
ADRB3	2	2	4	2	8	4	3	9	2
ADRBK1	40779	106534	37029	29981	51041	63568	22504	44386	37910
ADRBK2	4636	14025	5127	2820	5439	8511	3046	5386	5595
ADRM1	7277	18561	6124	5909	4929	5891	4639	8911	7122
ADSL	5172	12806	4526	3646	2838	3671	3331	5223	4617
ADSSL1	256	634	130	175	134	108	61	132	218
ADSS	5772	12509	5935	2869	3327	5503	3493	6844	5387
AEBP1	1047	2952	635	832	986	1187	462	660	599
AEBP2	2784	5504	2826	1686	2453	3107	1344	3590	2657
AEN	1591	3530	1300	989	1849	2052	750	1690	1318
AES	89496	199165	75003	68226	43373	55107	48000	88536	76700
AFAP1L1	35	90	19	55	41	27	17	32	7
AFAP1L2	131	175	149	89	153	100	94	137	174
AFAP1	2806	2070	1616	473	1102	2004	1298	1759	2385
AFF1	5490	11502	5242	2734	3949	8377	3045	5120	5014
AFF2	212	427	75	154	44	55	128	70	93
AFF3	1430	3867	982	736	1366	2297	612	1569	1130
AFF4	5458	10892	5005	2583	4477	8179	2736	5144	4693
AFG3L1P	842	1970	937	579	2989	2785	442	1189	1080
AFG3L2	5637	12779	5202	3436	2396	4186	3152	6429	5105
AFMID	675	2033	570	1083	2532	1406	477	1173	754
AFM	0	0	0	0	6	0	0	0	0
AFP	0	0	0	0	0	0	0	0	0
AFTPH	9647	19058	8883	6472	4558	6607	5196	9763	8834
C11orf96	2	31	0	16	20	21	2	7	2
AGAP1	606	994	1646	409	721	1929	459	1641	1192
AGAP2	5688	11782	5407	3643	4003	5450	2900	5365	4180
AGAP3	3033	13492	3419	3330	4128	5192	2240	4748	3977
AGAP6	418	1175	419	340	4682	3968	189	666	440
AGAP5	93	228	22	83	532	806	105	123	87
AGA	1186	4016	1993	1404	819	2086	1313	2870	1990
AGBL1	0	0	0	0	20	0	0	0	0
AGBL2	64	243	58	43	157	275	30	76	84
AGBL3	33	50	46	0	69	82	36	17	18
AGBL4	46	102	66	109	360	153	18	127	47
AGBL5	1111	2334	1177	708	594	1006	673	1191	1180
AGER	243	890	250	751	3232	3312	91	712	445
AGFG1	5113	11833	4511	3342	5077	6984	3819	6436	5845
AGFG2	2345	3315	1549	1725	1304	1133	852	1678	1434
AGGF1	3368	5861	2606	1696	1641	2445	1692	2844	2369
AGK	1564	3029	1438	1130	2121	2159	838	2189	1726
AGL	1507	2793	1452	879	1544	2433	958	1656	1219
AGMAT	1148	2057	862	774	648	521	694	858	712
AGPAT1	5345	16002	5500	4229	2567	3868	3826	6255	5311
AGPAT2	3908	17372	4109	4122	2063	3154	2938	4878	5432
AGPAT3	11741	36529	13243	7344	6804	12579	8073	13357	13908
AGPAT4	614	1934	982	609	2409	3915	557	1223	1286
AGPAT5	1930	3576	1595	1010	802	1148	692	1288	1472
GPAT4	7667	18621	7241	6301	6320	8838	4527	8889	8401
GPAT3	1648	2941	1314	829	788	1599	1377	2306	1888
HYKK	110	129	83	97	141	114	13	86	79
AGPS	4749	9293	4446	2376	2357	4072	2349	4556	4300
AGR2	0	0	0	0	0	0	0	0	0
AGR3	0	0	0	0	0	0	0	0	0
AGRN	821	2191	743	515	672	1155	464	627	485
AGRP	22	50	17	6	7	20	4	0	27
AGTPBP1	8561	18049	8800	5823	6849	12673	6941	11526	10099
AGTR1	0	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0
AGTRAP	11048	38031	9980	10027	6645	9780	8260	15756	14299
AGT	0	0	0	0	0	0	0	0	0
ETNPPL	0	0	0	0	0	0	0	0	0
PHYKPL	3438	10137	3240	3029	6100	7254	1965	4049	3417
AGXT2	0	0	0	0	4	0	0	0	0
AGXT	0	0	0	0	0	0	0	0	0
AHCTF1	3717	6133	3093	2269	4226	5576	1704	3754	2555
AHCYL1	6695	15089	5937	3999	2928	5736	4564	7164	6843
AHCYL2	1877	3819	1577	598	1374	1998	1126	1645	1383
AHCY	5243	13712	4383	3075	1779	3697	3014	5419	4991
AHDC1	1777	4161	2010	1355	1483	2381	982	2488	1673
AHI1	127	225	162	355	422	509	97	360	333
AHNAK2	278	543	138	223	173	375	96	167	189
AHNAK	180906	366026	234809	82034	139529	251874	121918	202752	178372
AHRR	49	128	25	65	83	76	274	32	62
AHR	4647	8080	3768	2124	4725	9167	1828	2983	3783
AHSA1	5329	12620	4825	3826	2408	2992	2779	5403	5084
AHSA2	401	1073	328	453	9432	8067	153	699	323
AHSG	0	0	0	0	0	0	0	0	0
AHSP	38	111	62	78	34	12	43	17	525
AICDA	51	27	25	169	358	118	22	73	49
AIDA	8994	19774	8784	4775	3590	6842	5726	9489	8150
AIF1L	6	58	35	0	38	0	13	0	7
AIF1	20451	75644	21881	20897	11213	16942	15596	38426	31787
AIFM1	3186	7122	2448	1859	1850	2246	1715	3126	2824
AIFM2	363	443	317	334	583	473	154	350	301
AIFM3	243	750	240	507	564	651	220	398	520
AIG1	831	1869	890	632	609	669	524	1143	1222
AIM1L	43	62	51	26	90	137	38	87	63
AIM1	4342	8829	4929	2814	6103	8243	2442	4540	3156
AIM2	304	793	368	230	435	995	240	240	408
AIMP1	3995	6091	3948	3027	2721	3884	2422	5553	3885
AIMP2	917	1629	627	583	270	578	520	1119	698
AIPL1	45	66	26	163	384	128	32	98	43
AIP	7906	20057	6872	7451	4975	6091	4540	10152	7907
AIRE	33	39	60	55	220	93	55	68	24
AJAP1	19	109	18	17	9	53	12	99	66
AK1	145	539	168	313	3016	1754	62	282	283
AK2	10038	22960	7603	6155	4090	6505	5409	10018	8847
AK4	227	428	126	122	93	44	69	77	86
AK3	2656	6486	2432	1635	2078	2530	1663	2524	2493
AK5	2352	4603	1246	1886	653	605	1036	2251	2664
AK7	27	41	5	34	129	64	17	39	17
AKAP10	2694	5285	2433	1804	2814	3673	1223	3048	2311
AKAP11	5366	9409	5630	2072	3531	5984	2481	4970	3891
AKAP12	119	83	95	148	238	220	80	32	85
AKAP13	21468	51154	23187	14419	24298	39193	11537	27091	21729
AKAP14	0	27	0	0	8	0	0	0	0
AKAP1	2025	3553	1768	1259	1626	1810	917	1853	1580
AKAP2	2533	7529	2556	342	1054	1904	1053	983	1366
AKAP3	114	205	65	71	40	43	45	118	60
AKAP4	0	0	0	0	0	0	0	0	0
AKAP5	303	551	462	455	1669	934	237	1416	494
AKAP6	160	279	115	103	59	53	38	154	73
AKAP7	1402	2643	1208	945	782	786	614	1556	1428
AKAP8L	6380	14547	5350	4600	7034	9056	3320	6562	6209
AKAP8	2886	6889	3309	2078	4915	5979	1727	4294	3437
AKAP9	5859	9611	5716	7727	10889	14680	3256	10235	6549
AK9	414	700	478	455	770	744	202	462	370
AKIRIN1	11904	21627	9807	6543	5801	8069	6339	10867	9675
AKIRIN2	5144	16980	6083	4098	3933	5973	3817	7166	8390
AKNAD1	0	0	0	0	7	0	0	0	0
AKNA	32495	65950	31783	24973	36802	51626	18362	40573	28688
AKR1A1	5010	17394	5196	4429	4616	5868	3950	6623	6070
AKR1B10	17	34	25	54	147	61	12	43	14
AKR1B15	29	122	68	12	221	220	17	77	78
AKR1B1	5878	12672	5385	3513	2673	4579	3531	6121	5891
AKR1C1	13	0	16	60	58	23	9	0	32
AKR1C2	0	0	0	37	13	0	0	11	11
AKR1C3	658	908	815	511	243	439	510	1282	1352
AKR1C4	0	0	2	0	6	16	2	0	5
AKR1C8P	0	0	0	0	9	4	6	6	13
AKR1D1	81	99	79	118	559	171	26	103	66
AKR1E2	75	203	56	80	121	76	14	28	100
AKR7A2	3896	10470	3686	3188	1426	2128	2488	3409	3843
AKR7A3	1	10	25	0	91	76	5	8	7
AKT1S1	1822	5255	1393	1577	1453	1894	1017	1639	1415
AKT1	14858	40566	16140	13925	11106	16397	10563	21868	17445
AKT2	10913	28022	9234	7695	8129	11000	6040	10449	10334
AKT3	1476	2231	1394	502	1327	1478	588	1793	1034
AKTIP	2099	5435	1939	1828	1733	1756	1236	1952	1467
